d6a603c was Danne Connolly, 2 days ago, message: First commit
55ad4e9 was kapil verma, 4 years, 5 months ago, message: Added a method to fluently set belongs-to relation
6b73974 was Callum McIntyre, 4 years, 5 months ago, message: Added new touch function to eloquent, updates timestamps and immediately saves
afe4485 was Roumen Damianoff, 4 years, 5 months ago, message: Bulgarian translation for array validator messages.
a1c7dde was Joost Koehoorn, 4 years, 5 months ago, message: Fixed problem with manual running of Artisan tasks
ec13efb was Dayle Rees, 4 years, 5 months ago, message: Merge pull request #1164 from lollypopgr/grlang
163f390 was George Drakakis, 4 years, 5 months ago, message: Added Greek Language
2a5d7c3 was kapil verma, 4 years, 5 months ago, message: Fixed the use of 5.4 array syntax in one place
07bec5c was Taylor Otwell, 4 years, 5 months ago, message: Merge branch 'master' into staging
1f005bd was Taylor Otwell, 4 years, 5 months ago, message: Remove notification from travis file.
8afab34 was Taylor Otwell, 4 years, 5 months ago, message: Incrementing version and updating change log.
4e21cfc was Taylor Otwell, 4 years, 5 months ago, message: Fixing a double slash bug in URL generation with languages. add tests.
8a9acbc was Taylor Otwell, 4 years, 5 months ago, message: Merge branch 'staging'
cfe5fa1 was Taylor Otwell, 4 years, 5 months ago, message: Add fix to change log.
2e01c58 was Taylor Otwell, 4 years, 5 months ago, message: Fix error handling.
b061b9b was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1150 from franzliedke/patch-40
852b10e was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1143 from franzliedke/patch-38
1b475d8 was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1142 from HendrikJan/master
50b10fc was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1132 from cmenke/master
c17c872 was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1123 from daris/patch-1
db48fa4 was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1121 from mcintyre94/minor/unprotect-eloquent-timestamps
c974052 was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1115 from HiroKws/delete-top-anchor/doc-session.config
5e11cb9 was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1112 from HiroKws/fix-markdown/git-docs
b3319f5 was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1051 from franzliedke/patch-30
175683f was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1092 from franzliedke/patch-34
4db0808 was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1089 from kbanman/fix-query-lists
4a60981 was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1084 from joecwallace/pivot_fix
017c65c was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1056 from Jakobud/bug/form/buttons/defaultValues
22962fc was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1041 from Jakobud/feature/docs/templating
0a908ef was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1014 from jasonlewis/feature/root-bundles
8e8ef86 was Taylor Otwell, 4 years, 5 months ago, message: Merge pull request #1013 from Jakobud/bug/artisan-task-route
5b14091 was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #858 from franzliedke/patch-14
46f68ab was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #813 from anaxamaxan/patch-3
8f8fa09 was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #811 from xsbeats/feature/str_limit_exact
c7679ba was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #770 from abigwonderful/develop
f97fb3a was kapil verma, 4 years, 6 months ago, message: Updated Paginator to fit better with bootstrap 2.1
c785067 was Taylor Otwell, 4 years, 6 months ago, message: Increment version and change log.
f34063c was Taylor Otwell, 4 years, 6 months ago, message: Fix bug in Eloquent to_array method.
e804684 was Taylor Otwell, 4 years, 6 months ago, message: fix tests.
928ce7c was Taylor Otwell, 4 years, 6 months ago, message: Merge branch 'staging'
9b90242 was Taylor Otwell, 4 years, 6 months ago, message: Updating version.
9484db1 was Taylor Otwell, 4 years, 6 months ago, message: Revert Blade back to 3.2.3 due to regression with layouts.
e11d13a was Franz Liedke, 4 years, 6 months ago, message: Get rid of duplicate code for DROP TABLE in schema grammars.
e46f07d was Franz Liedke, 4 years, 6 months ago, message: Fix method signature and return values of insert() method.
dd01308 was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #1098 from franzliedke/patch-35
7fa54c2 was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #1100 from franzliedke/patch-36
b86b8ff was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #1113 from HiroKws/markdown-fix/doc-change
aa34135 was Franz Liedke, 4 years, 6 months ago, message: Fix insert() method for related models.
c44e69b was H.J. van Meerveld, 4 years, 6 months ago, message: improved code to insert related models
20c696d was Christoph Menke, 4 years, 6 months ago, message: Added Routing Wildcard '(:all)' to Documentation
84bf7d6 was Dayle Rees, 4 years, 6 months ago, message: Merge pull request #1128 from tobsn/patch-14
967d989 was Tobsn, 4 years, 6 months ago, message: dann typo
fa0fcff was Tobsn, 4 years, 6 months ago, message: added unsigned() description
833cf12 was Dayle Rees, 4 years, 6 months ago, message: Merge pull request #1119 from thomiweb/master
f31c6dc was Dayle Rees, 4 years, 6 months ago, message: Merge pull request #1127 from tobsn/patch-13
161ae3f was Tobsn, 4 years, 6 months ago, message: Docu on how to ensure foreign() works
546c962 was Tobsn, 4 years, 6 months ago, message: Revert "Docu on how to ensure foreign() works"
b92f5bc was Tobsn, 4 years, 6 months ago, message: Docu on how to ensure foreign() works
926cdaa was Taylor Otwell, 4 years, 6 months ago, message: reimplement locale uri slugs.
be7544b was daris, 4 years, 6 months ago, message: Update laravel/documentation/database/fluent.md
dcfd125 was Callum McIntyre, 4 years, 6 months ago, message: Changed timestamp function in eloquent/model.php to public
f8fdcd8 was Callum McIntyre, 4 years, 6 months ago, message: Changed timestamp function in eloquent/model.php to public
63fe95d was Callum McIntyre, 4 years, 6 months ago, message: Changed timestamp function in database/eloquent/model.php from protected to public. Allows eloquent model timestamps to be updated without actually changing any data. git push fork minor/unprotect-eloquent-timestamps git status git
5c66ca9 was Thomas Kjærgaard, 4 years, 6 months ago, message: Added Danish translations to pagination and validation
aca179c was Hirohisa Kawase, 4 years, 6 months ago, message: Deleted an anchor of top of line. Defined "config", but it was reffered from no where. So, keep code simple. Signed-off-by:Hirohisa Kawase <hiro.soft@gmail.com>
359ee49 was Hirohisa Kawase, 4 years, 6 months ago, message: Added ## Laravel 3.2.5, and changed 'Upgrading From ...' to <h3> Signed-off-by:Hirohisa Kawase <hiro.soft@gmail.com>
973551c was Hirohisa Kawase, 4 years, 6 months ago, message: Change some Markdown to fit other md files' format.
7298c93 was Dayle Rees, 4 years, 6 months ago, message: Merge pull request #1109 from JesseObrien/feature/profiler-timers
7193f29 was Jesse O'Brien, 4 years, 6 months ago, message: Added profile timers
1203473 was Taylor Otwell, 4 years, 6 months ago, message: revert eloquent back to 3.2.3
e8119f8 was Taylor Otwell, 4 years, 6 months ago, message: increment version.
1e20052 was Taylor Otwell, 4 years, 6 months ago, message: Merge branch 'staging'
4d14052 was Taylor Otwell, 4 years, 6 months ago, message: Merge branch 'develop' into staging
9718d5c was Taylor Otwell, 4 years, 6 months ago, message: fix nested queries.
722de55 was Dayle Rees, 4 years, 6 months ago, message: Merge pull request #1105 from spencerdeinum/master
6c9d903 was Spencer Deinum, 4 years, 6 months ago, message: Added Command::run() to the documentation for artisan tasks.
385b776 was Franz Liedke, 4 years, 6 months ago, message: Docs: Finish section on pull request guidelines.
f80d694 was Franz Liedke, 4 years, 6 months ago, message: Contrib docs: add section stub about pull requests.
67464cb was Franz Liedke, 4 years, 6 months ago, message: Fix typo in Github page table of contents.
1c7297d was Franz Liedke, 4 years, 6 months ago, message: Contrib docs: Remove pointless staging branch info.
5359085 was Franz Liedke, 4 years, 6 months ago, message: Fix contribution page links in documentation.
abd30eb was Franz Liedke, 4 years, 6 months ago, message: Fix contribution page links in documentation.
97761f0 was Dayle Rees, 4 years, 6 months ago, message: missing a from attribute
8dbe2d1 was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #681 from bencorlett/develop
64605f2 was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #706 from Vespakoen/patch-1
feb651f was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #670 from kbanman/hmvc-fix
fdac5e8 was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #636 from ProgerXP/patch-bexpand
41e3c95 was Franz Liedke, 4 years, 6 months ago, message: Add German translations for new array validator.
a7c2c25 was Dayle Rees, 4 years, 6 months ago, message: Merge pull request #1053 from tobsn/patch-12
4b8ba99 was Dayle Rees, 4 years, 6 months ago, message: Merge pull request #1043 from tobsn/patch-10
e0338f3 was Dayle Rees, 4 years, 6 months ago, message: Merge branch 'core-tests' of https://github.com/franzliedke/laravel into develop
e3a000a was Kelly Banman, 4 years, 6 months ago, message: Fix Query::lists() for empty resultsets
1bd157d was Jason Lewis, 4 years, 6 months ago, message: Added in develop changes.
4d0f955 was Jason Lewis, 4 years, 6 months ago, message: Merge pull request #1079 from sineld/develop
f685597 was Jason Lewis, 4 years, 6 months ago, message: Defer URI language support to L4.
a95b5eb was Jason Lewis, 4 years, 6 months ago, message: Defer URI language support to L4.
694f696 was Jason Lewis, 4 years, 6 months ago, message: Merge pull request #1063 from stayallive/develop
43614cf was Taylor Otwell, 4 years, 6 months ago, message: Merge branch 'develop' of github.com:laravel/laravel into develop
749948b was Taylor Otwell, 4 years, 6 months ago, message: fix conflicts.
7dae482 was Taylor Otwell, 4 years, 6 months ago, message: Merge branch 'develop' into staging
4d25f50 was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #1016 from purwandi/develop
29a4ac2 was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #1049 from Apathetic012/develop
343d132 was Taylor Otwell, 4 years, 6 months ago, message: tweak change log.
79f92e5 was Taylor Otwell, 4 years, 6 months ago, message: defer language support in URIs to version 4.
d31f89d was Joe Wallace, 4 years, 6 months ago, message: Fixing a bug with saving data to pivot table
b5e81cb was Dayle Rees, 4 years, 6 months ago, message: Merge pull request #1083 from spencerdeinum/master
e5dc108 was Spencer Deinum, 4 years, 6 months ago, message: Fix documentation error in input.md
f5123f9 was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #1052 from sergiigrebeniuk/hotfix-phpdoc
0d718bb was Sinan Eldem, 4 years, 6 months ago, message: Added Turkish language files.
ebec6ba was Phill Sparks, 4 years, 6 months ago, message: Merge pull request #1077 from aebersold/master
8227784 was Simon Aebersold, 4 years, 6 months ago, message: Documentation Error, see /laravel/html.php line 225 for reference
86b0ac0 was Phill Sparks, 4 years, 6 months ago, message: Merge pull request #1064 from jwpage/bug/fix_index_path
43c3c2d was Tobsn, 4 years, 6 months ago, message: fixes from testing
93f5785 was Johnson Page, 4 years, 6 months ago, message: Update path to index view file.
f0e261c was Alex Bouma, 4 years, 6 months ago, message: Changed jQuery '$' to 'jQuery' in the Profiler
31c730c was Jakobud, 4 years, 6 months ago, message: Passing a null $value to Form::submit(), Form::reset() or Form::button() was throwing an Exception. I made the default $value = null for those methods. They result in the following respective valid HTML: <input type='submit'/> <input type='reset'/> <button></button>
bf07de7 was Tobsn, 4 years, 6 months ago, message: added array and array count validation
690e857 was Sergii Grebeniuk, 4 years, 6 months ago, message: phpdoc fixes
228f572 was Franz Liedke, 4 years, 6 months ago, message: Extract sweep method in Session payload class.
bc34498 was Taylor Otwell, 4 years, 6 months ago, message: Merge pull request #1045 from franzliedke/patch-29
727afc1 was apathetic012, 4 years, 6 months ago, message: fix namespace issue on exception
e86cd79 was Franz Liedke, 4 years, 7 months ago, message: Make database connection protected in session driver.
5716b4d was Tobsn, 4 years, 7 months ago, message: type boolean is tinyint(1)
d667a15 was Taylor Otwell, 4 years, 7 months ago, message: Merge branch 'develop' into staging
a28698e was Franz Liedke, 4 years, 7 months ago, message: Merge pull request #1 from crynobone/core-tests
d816eb9 was crynobone, 4 years, 7 months ago, message: Refix unit testing for Laravel
761186a was Jakobud, 4 years, 7 months ago, message: Reorganized Control Structure section. Added Control Structure to TOC. Added in missing @elseif example. Move the Blade Comments to more appropriate section. Simplified Blade Comments examples. Minor changes to @parent example.
7256dc2 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #1024 from Apathetic012/develop
06ac327 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #917 from HiroKws/japanese-language
0556ef3 was Dayle Rees, 4 years, 7 months ago, message: Merge branch 'develop' of github.com:laravel/laravel into develop
30175c2 was Dayle Rees, 4 years, 7 months ago, message: fixing merge issues for comment tweaks
dab2c79 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #933 from franzliedke/patch-22
a0fd22f was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #772 from loic-sharma/patch-3
01f8323 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #945 from cviebrock/html-link
2611c1f was Dayle Rees, 4 years, 7 months ago, message: fixing merge issue for blade comments pull
9ea5018 was Dayle Rees, 4 years, 7 months ago, message: Merge branch 'develop' of github.com:laravel/laravel into develop
9d9d1d0 was Dayle Rees, 4 years, 7 months ago, message: fixing merge for contribution docs
4b97c28 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #860 from stevefrost/develop
184cc09 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #1026 from jbruni/patch-1
3a471de was Dayle Rees, 4 years, 7 months ago, message: franz routing docs fix
3d66011 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #1037 from tobsn/patch-9
37e5605 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #1036 from tobsn/patch-8
8c5ac60 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #935 from tobsn/patch-7
89d8c5b was Tobsn, 4 years, 7 months ago, message: Returning results with SHOW queries
244ecd4 was Tobsn, 4 years, 7 months ago, message: Added use Closure to database.php
c971052 was Jason Lewis, 4 years, 7 months ago, message: Merge pull request #1020 from metaphox/develop
2c7bf65 was Jakobud, 4 years, 7 months ago, message: Removed empty Coding Standards doc. Removed Coding Standards from Table of Contents Sidebar.
fd6e73a was Jakobud, 4 years, 7 months ago, message: Added TortoiseGit contribution docs. Revised Command-Line contribution docs.
72d091e was Jakobud, 4 years, 7 months ago, message: Added first draft of command-line contributing docs. Added empty files for coding standards and tortoisegit docs. Adjusted Contributions in the Table of Contents sidebar.
37dbeef was Franz Liedke, 4 years, 7 months ago, message: Use LARAVEL_START constant to calculate request time.
c7890bc was J Bruni, 4 years, 7 months ago, message: Update laravel/documentation/controllers.md
5eef002 was apathetic012, 4 years, 7 months ago, message: add output of File::mime() example
0dd1af6 was Tao Wu, 4 years, 7 months ago, message: changes binding data variable to an array
7b1b76b was Jason Lewis, 4 years, 7 months ago, message: Merge pull request #1021 from benjaminreede/feature/language/nl
65ccdef was BeQuery, 4 years, 7 months ago, message: Dutch language pack
25a69cf was Jason Lewis, 4 years, 7 months ago, message: Merge pull request #1018 from noherczeg/feature/language/hu
a497a3e was Tao Wu, 4 years, 7 months ago, message: changed header to data
9268b1e was Tao Wu, 4 years, 7 months ago, message: Merge branch 'master' into develop
ce7de95 was Norbert Csaba Herczeg, 4 years, 7 months ago, message: Added Hungarian language pack
5622f6e was Jakobud, 4 years, 7 months ago, message: Added basic GitHub contribution docs.
6d193c2 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #1017 from Spir/develop
3e699a1 was Spir, 4 years, 7 months ago, message: Added french translation.
c667788 was Purwandi, 4 years, 7 months ago, message: Add decimal schema on docs Signed-off-by: Purwandi <free6300@gmail.com>
2c6ed23 was Dayle Rees, 4 years, 7 months ago, message: fixing merge issues
da35e25 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #898 from franzliedke/patch-13
0bc38ff was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #1009 from apit/lang-id
7b5e37a was Dayle Rees, 4 years, 7 months ago, message: fixing merge issues on blade pull
8a34aa5 was Pascal Borreli, 4 years, 7 months ago, message: Fixed typos
f969776 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #944 from dlabsnl/master
483f570 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #990 from resurtm/html-indentation-fix
c27614b was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #996 from Jakobud/feature/pagination-docs
f7e7fa6 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #995 from cviebrock/eloquent-delete-doc
3b09f99 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #989 from dprvig/develop
5299e32 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #1011 from Jakobud/feature/templating-docs
f408fcc was Jason Lewis, 4 years, 7 months ago, message: Allow bundles to respond to root requests.
4333181 was Jakobud, 4 years, 7 months ago, message: In the call() method, the exception wasn't being thrown if only 1 or more than 2 arguments were passed to the method. Fixed conditional statement to only accept exactly 2 arguments. In the route() method, URI::current() was evaluating as '/' in all situations. It was never evaluating as the route that you specified when executing the command. This could be part of a larger underlying bug with Symfony's HttpFoundation\Request class. It might be a band-aid fix, but replacing URI::current() with $_SERVER['REQUEST_URI'] allows the method to run the correct route. These fixes uncovered what I believe is potentially another bug. When var_dump($route->response()) is run, "NULL" and a newline is appended to the output. It's something to do with var_dump(), as echo $route->response() echo's the correct output without the extra "NULL".
7475bcd was Jakobud, 4 years, 7 months ago, message: Added documentation for the @render() Blade method
2f48bbb was Tao Wu, 4 years, 7 months ago, message: Update laravel/documentation/views/home.md
a1914d6 was stupoh, 4 years, 7 months ago, message: Added Indonesian language files
34c746b was Tobsn, 4 years, 7 months ago, message: added @continue
6cb2dda was Tobsn, 4 years, 7 months ago, message: multiline echo and comments
1c92b90 was Tobsn, 4 years, 7 months ago, message: fixed two typos
5c3ede7 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #946 from franzliedke/patch-23
764e7bc was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #983 from racklin/bugfix/memcached
b194d83 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #987 from robmeijer/develop
289c02a was Jakobud, 4 years, 7 months ago, message: Added documentation for paginate's second optional argument.
c60a58f was Colin Viebrock, 4 years, 7 months ago, message: Someone else can re-word this, but a easy-to-find paragraph on deleteing Eloquent models seemed missing. Signed-off-by: Colin Viebrock <colin@viebrock.ca>
1db67d4 was Dayle Rees, 4 years, 7 months ago, message: Merge pull request #947 from franzliedke/patch-24
0a85a54 was resurtm, 4 years, 7 months ago, message: Indentation fixes in html.php.
0ea3099 was Josh Miller, 4 years, 7 months ago, message: Fixed various typos throughout laravel folder. Signed-off-by: Josh Miller <josh@joshmmiller.com>
84fcb60 was Rob Meijer, 4 years, 7 months ago, message: Fix pivot table name in Many-to-Many section in Eloquent documentation.
9944192 was Rack Lin, 4 years, 7 months ago, message: Fixed Memcached get connection instance typo in __callStatic method.
38234c6 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #480 from cviebrock/schema-rename
c937f98 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #932 from JeffreyWay/feature/auth_attempt_extend
19c64f1 was Taylor Otwell, 4 years, 7 months ago, message: return false on empty string for active url.
cd9a745 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #972 from franzliedke/patch-28
527e291 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #976 from Jakobud/bug/docs-bundle
03d2236 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #978 from racklin/pgsql-schema
54f4cb2 was Rack Lin, 4 years, 7 months ago, message: Added support PostgreSQL schema setting, if schema has been specified.
d46b981 was Jakobud, 4 years, 7 months ago, message: Fixed some bugs with the docs bundle
ec41836 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #938 from Anahkiasen/develop
680407f was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #959 from franzliedke/patch-25
c6e4a25 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #966 from racklin/develop
a73a6fb was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #970 from franzliedke/patch-26
a87615d was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #971 from franzliedke/patch-27
61364c5 was Franz Liedke, 4 years, 7 months ago, message: Make sure default values in schema columns are always non-empty (especially booleans).
02e84eb was Franz Liedke, 4 years, 7 months ago, message: Documentation: fix menu link to "Bundle Routes" section.
a03bcb5 was Franz Liedke, 4 years, 7 months ago, message: Mention default value helper function in database schema documentation.
096f9c2 was Rack Lin, 4 years, 7 months ago, message: Fixed IoC::resolve forces singleton issue.
b973c25 was Franz Liedke, 4 years, 7 months ago, message: Add documentation about deleting files.
25b8bd8 was Shawn McCool, 4 years, 7 months ago, message: add help:commands artisan task to documentation
186b0f2 was Shawn McCool, 4 years, 7 months ago, message: Merge branch 'feature/artisan-tasklist' into develop
7dcbf33 was Shawn McCool, 4 years, 7 months ago, message: cleaned up help task
1a1e74a was Shawn McCool, 4 years, 7 months ago, message: Merge branch 'feature/eloquent-pagination' into develop
dc6bcf0 was Shawn McCool, 4 years, 7 months ago, message: use global paginator alias in the query class
08fce4f was Franz Liedke, 4 years, 7 months ago, message: After running tests, exit with PHPUnit's exit status.
e7f665b was Franz Liedke, 4 years, 7 months ago, message: Don't restrict Travis CI testing to one branch.
9460e69 was Franz Liedke, 4 years, 7 months ago, message: Update .travis.yml
4fd1a4f was Franz Liedke, 4 years, 7 months ago, message: Add .travis.yml file for continuous integration with Travis CI.
3e9161d was Jason Lewis, 4 years, 7 months ago, message: Merge pull request #948 from loic-sharma/patch-5
37241db was Franz Liedke, 4 years, 7 months ago, message: Fix View test case still referring to the old bundle setup for tests.
7351845 was Franz Liedke, 4 years, 7 months ago, message: Fix PHP errors in test cases related to changed cookie data storage.
feefa8d was Franz Liedke, 4 years, 7 months ago, message: Fix PHP errors in test cases related to now using Symfony's HttpFoundation component.
86013f1 was Franz Liedke, 4 years, 7 months ago, message: Fix old code in Auth test cases.
59e7e4a was Franz Liedke, 4 years, 7 months ago, message: Update authentication config file in testing application.
41ff7af was Franz Liedke, 4 years, 7 months ago, message: Change inner workings of test runner to use different bootstrap file when testing the core.
eb76c34 was Loic Sharma, 4 years, 7 months ago, message: Added a missing parenthesis and semicolon.
9bd8755 was Franz Liedke, 4 years, 7 months ago, message: Fix wrong API usage in Auth unit test.
a7c2113 was Franz Liedke, 4 years, 7 months ago, message: Import testing bundle to laravel/tests directory.
6d23c4f was Franz Liedke, 4 years, 7 months ago, message: Fix missing semicolon in laravel/cli/test/runner.php.
78920c5 was Franz Liedke, 4 years, 7 months ago, message: Move automatic relationship parsing to Eloquent's query class.
8c2a4fb was Franz Liedke, 4 years, 7 months ago, message: The Eloquent model includes can now be taken directly from the model when assembling the query.
71f8e4a was Franz Liedke, 4 years, 7 months ago, message: Fix a bug introduced in pull request #799 that caused eager loading constraints to stop working.
4d44df4 was Colin Viebrock, 4 years, 7 months ago, message: Allow second param of HTML::link* methods to be null, in which case the title of the link is the URL itself, similar to HTML::email() method.
b325e95 was Chris Berthe, 4 years, 7 months ago, message: Merge remote-tracking branch 'upstream/develop' into develop
ce3721a was Baycan Aydin, 4 years, 7 months ago, message: Add dutch language
644ecfc was Shawn McCool, 4 years, 7 months ago, message: adding basic help functions to artisan
29b668b was Shawn McCool, 4 years, 7 months ago, message: added help:commands task to artisan
1503aed was Shawn McCool, 4 years, 7 months ago, message: Merge branch 'hotfix/docs-nav-update' into develop
0fa3650 was Shawn McCool, 4 years, 7 months ago, message: Merge branch 'hotfix/docs-nav-update' into staging
7140be4 was Shawn McCool, 4 years, 7 months ago, message: Merge branch 'hotfix/docs-nav-update'
3acc640 was Shawn McCool, 4 years, 7 months ago, message: simplify navigation copy
05ada38 was Shawn McCool, 4 years, 7 months ago, message: style update
95bb9df was Shawn McCool, 4 years, 7 months ago, message: Merge branch 'hotfix/fix_markdown' into develop
79edd52 was Shawn McCool, 4 years, 7 months ago, message: Merge branch 'hotfix/fix_markdown' into staging
88457b6 was Shawn McCool, 4 years, 7 months ago, message: Merge branch 'hotfix/fix_markdown'
a6c2805 was Shawn McCool, 4 years, 7 months ago, message: style updates
85ec193 was Shawn McCool, 4 years, 7 months ago, message: fix merge
ee6adc2 was Shawn McCool, 4 years, 7 months ago, message: fix merge
bcdde02 was Shawn McCool, 4 years, 7 months ago, message: Merge branch 'feature/docs-install' into develop
a66eb44 was Shawn McCool, 4 years, 7 months ago, message: fixed typo
66f9ea8 was Shawn McCool, 4 years, 7 months ago, message: Merge branch 'feature/docs-install' into staging
ce1392a was Shawn McCool, 4 years, 7 months ago, message: Merge branch 'feature/docs-install'
49928b3 was Shawn McCool, 4 years, 7 months ago, message: added server configuration to the documentation
e19e4eb was Taylor Otwell, 4 years, 7 months ago, message: tweak url for languages.
10e5918 was Taylor Otwell, 4 years, 7 months ago, message: clear out langauges option.
5f919d7 was Taylor Otwell, 4 years, 7 months ago, message: updated change log.
c8718a3 was Taylor Otwell, 4 years, 7 months ago, message: added option for URI languages.
8a4aade was Anahkiasen, 4 years, 7 months ago, message: Quick notes on Pivot tables
27fb9d0 was Tobsn, 4 years, 7 months ago, message: fixed "here" link
c659a92 was Jeffrey Way, 4 years, 7 months ago, message: Fix typo in comments
1879e65 was Taylor Otwell, 4 years, 7 months ago, message: tweak eloquent model change method to not check types.
204a6a7 was Franz Liedke, 4 years, 7 months ago, message: Add a Request::time() function.
ff525b9 was Jeffrey Way, 4 years, 7 months ago, message: Add "remember" to ignore list
9dd964c was Jeffrey Way, 4 years, 7 months ago, message: Extend Auth::laravel to accept multiple params to verify
82ababb was Taylor Otwell, 4 years, 7 months ago, message: Add note about making view directory writable.
ebcbbbb was Taylor Otwell, 4 years, 7 months ago, message: WIP.
cbff59b was Hirohisa Kawase, 4 years, 7 months ago, message: Add Japanese language resource files.
2d2a6bf was Hirohisa Kawase, 4 years, 7 months ago, message: Add Japanese language resource files.
845023f was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #847 from tobsn/patch-1
430eeb6 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #798 from xsbeats/feature/validation_required_with
990f10f was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #854 from jasonlewis/feature/pattern-filters
4de2010 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #862 from franzliedke/patch-15
8198dc2 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #874 from franzliedke/patch-16
69e1ea9 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #868 from lucadegasperi/bug/phpunit
f338db5 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #888 from TommyC81/patch-3
03ad47e was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #880 from tomasz-tomczyk/feature/polish-translation
12bc7f1 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #889 from Nirlah/develop
90447e7 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #892 from jasonlewis/bug/database/select
6b5cccc was Franz Liedke, 4 years, 7 months ago, message: Move get_file_size() helper function to helpers.php.
06154ab was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #895 from TomorrowToday/develop
0556d8e was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #899 from RoumenMe/develop
e6ff7ba was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #901 from franzliedke/patch-18
a9d27ba was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #902 from JesseObrien/feature/eloquent-update-timestamp
6e9efb4 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #903 from Lapayo/master
0171cf8 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #905 from franzliedke/patch-19
dcf1966 was Taylor Otwell, 4 years, 7 months ago, message: Merge pull request #910 from franzliedke/patch-20
